id_municipio,projecao_2033,inclinacao_aa,n_obs,classificacao_2033,sigla_uf,regiao,porte,populacao_urbana,tendencia_icr_sm_aa
1500206,18.970903010037546,-3.765551839464691,4.0,will_not_meet,PA,Norte,5-20 mil,13133.0,-0.036210351334614456
1500305,21.29428571428525,-1.6106493506493924,21.0,will_not_meet,PA,Norte,5-20 mil,10795.0,-0.18589743379884002
1500347,0.0,-14.521428571431796,3.0,will_not_meet,PA,Norte,5-20 mil,5409.0,
1500404,0.0,-2.844545454545579,21.0,will_not_meet,PA,Norte,20-50 mil,30232.0,-0.2526065241084642
1500503,123.84731774415377,1.876066024759268,7.0,on_track,PA,Norte,20-50 mil,20220.0,-0.02984078255076532
1500602,28.450666666667153,0.01917948717950689,26.0,will_not_meet,PA,Norte,50-100 mil,99578.0,-0.7305092657181278
1500701,0.0,-1.5171428571429235,21.0,will_not_meet,PA,Norte,5-20 mil,11539.0,-0.3867877326877465
1500800,5.187623188405269,-1.3570869565217305,24.0,will_not_meet,PA,Norte,500 mil+,539081.0,-0.2802778259121677
1500909,0.0,-1.1372727272727723,21.0,will_not_meet,PA,Norte,20-50 mil,21141.0,-0.21437845120276633
1500958,0.0,-7.150000000000017,4.0,will_not_meet,PA,Norte,5-20 mil,9908.0,0.0
1501006,99.3166666666668,-0.049999999999985924,3.0,on_track,PA,Norte,<5 mil,3294.0,0.0
1501105,124.45488614800797,1.922248576850096,9.0,on_track,PA,Norte,5-20 mil,14281.0,0.0
1501204,94.12000000000535,1.0593243243246744,9.0,at_risk,PA,Norte,20-50 mil,24880.0,-0.16199943039554462
1501253,,,1.0,,PA,Norte,<5 mil,1282.0,
1501303,108.900000000006,2.224848484848925,10.0,on_track,PA,Norte,20-50 mil,47010.0,0.4350230369737739
1501402,55.65008387882244,-1.158313871254182,22.0,will_not_meet,PA,Norte,500 mil+,1493529.0,-0.617655645479944
1501451,100.64571428571452,0.051428571428588046,6.0,on_track,PA,Norte,5-20 mil,7535.0,0.07316058627175014
1501501,89.14880658436209,-0.36753086419753717,9.0,at_risk,PA,Norte,20-50 mil,36261.0,-0.023892036204986703
1501576,82.84285714285875,-0.9428571428570145,7.0,will_not_meet,PA,Norte,5-20 mil,9201.0,-0.05910145000333342
1501600,93.86666666666042,2.899999999999562,3.0,at_risk,PA,Norte,<5 mil,4503.0,
1501709,0.0,-2.7678290598290998,26.0,will_not_meet,PA,Norte,50-100 mil,83457.0,-0.35202494877225227
1501725,150.0,3.0681145113525052,11.0,on_track,PA,Norte,5-20 mil,6544.0,-0.08758221070979531
