id_municipio,projecao_icr_2033_linear,inclinacao_icr_aa,n_obs,sigla_uf,regiao,porte,icr_sm_ultimo_observado,variacao_pp_ultimo_2033,acima_limite_internacional_2033
1400050,1.8777365738150422,-0.11337458886153058,27.0,RR,Norte,<5 mil,3.337763581998444,-1.4600270081834017,False
1400100,0.0,-0.4769052633918141,27.0,RR,Norte,100-500 mil,7.502575280685372,-7.502575280685372,False
1400159,3.2673006014289285,-0.11922025940136767,27.0,RR,Norte,<5 mil,8.542013658664589,-5.27471305723566,False
1400175,1.8264054912698668,-0.10875724914516294,20.0,RR,Norte,<5 mil,3.160477561066292,-1.334072069796425,False
1400209,0.0,-0.33442169707458724,27.0,RR,Norte,5-20 mil,3.544903953887182,-3.544903953887182,False
1400233,2.907992467526441,-0.10263484141200276,20.0,RR,Norte,<5 mil,4.072135038936056,-1.1641425714096156,False
1400282,3.776577284710392,-0.008511039999883766,20.0,RR,Norte,5-20 mil,3.3741120758699368,0.402465208840455,False
1400308,1.931951022386329,-0.13900546458055318,27.0,RR,Norte,5-20 mil,3.3524089420381507,-1.4204579196518217,False
1400407,0.0,-0.3437966796977323,27.0,RR,Norte,<5 mil,2.8095868892262748,-2.8095868892262748,False
1400456,1.9438725294294272,-0.1816030433145217,20.0,RR,Norte,5-20 mil,5.15780511874717,-3.213932589317743,False
1400472,1.8867076276720525,-0.10692288540457717,20.0,RR,Norte,5-20 mil,2.835692579074049,-0.9489849514019966,False
1400506,0.8852759177765961,-0.13925642786200323,27.0,RR,Norte,5-20 mil,2.4493462323331565,-1.5640703145565604,False
1400605,1.3016407989887284,-0.1443399084928244,22.0,RR,Norte,5-20 mil,2.9460440942053387,-1.6444032952166103,False
1400704,0.0,-0.76977514768872,16.0,RR,Norte,<5 mil,2.280613648099504,-2.280613648099504,False
1500107,0.7430980970482324,-0.2104558887423266,27.0,PA,Norte,50-100 mil,7.000372056644527,-6.2572739595962945,False
1500131,4.886406329771546,0.1623624564194166,10.0,PA,Norte,5-20 mil,3.542900894760756,1.34350543501079,False
1500206,0.0,-0.036210351334614456,4.0,PA,Norte,5-20 mil,0.0,0.0,False
1500305,0.6011568072919999,-0.18589743379884002,22.0,PA,Norte,5-20 mil,6.188751215237804,-5.587594407945804,False
1500347,,,0.0,PA,Norte,5-20 mil,,,False
1500404,0.0,-0.2526065241084642,22.0,PA,Norte,20-50 mil,4.967487012379833,-4.967487012379833,False
1500503,0.12478166816303116,-0.02984078255076532,7.0,PA,Norte,20-50 mil,1.6043270993766043,-1.4795454312135732,False
1500602,0.0,-0.7305092657181278,22.0,PA,Norte,50-100 mil,0.0,0.0,False
1500701,0.0,-0.3867877326877465,22.0,PA,Norte,5-20 mil,6.1443191927496,-6.1443191927496,False
1500800,0.5944991066683087,-0.2802778259121677,25.0,PA,Norte,500 mil+,6.54044856708218,-5.945949460413871,False
1500909,0.12631320686875824,-0.21437845120276633,22.0,PA,Norte,20-50 mil,5.978481130721767,-5.852167923853009,False
1500958,0.0,0.0,3.0,PA,Norte,5-20 mil,0.0,0.0,False
1501006,0.0,0.0,4.0,PA,Norte,<5 mil,0.0,0.0,False
1501105,0.0,0.0,7.0,PA,Norte,5-20 mil,0.0,0.0,False
1501204,0.0,-0.16199943039554462,10.0,PA,Norte,20-50 mil,0.0454129238383155,-0.0454129238383155,False
1501253,,,1.0,PA,Norte,<5 mil,0.0,,False
1501303,11.816217225962077,0.4350230369737739,11.0,PA,Norte,20-50 mil,6.953873473359812,4.862343752602265,True
1501402,0.0,-0.617655645479944,23.0,PA,Norte,500 mil+,8.153410662950606,-8.153410662950606,False
1501451,3.841421537652593,0.07316058627175014,6.0,PA,Norte,5-20 mil,1.3917187196660843,2.449702817986509,False
1501501,0.0,-0.023892036204986703,8.0,PA,Norte,20-50 mil,0.0,0.0,False
1501576,2.4651607578544628,-0.05910145000333342,8.0,PA,Norte,5-20 mil,3.4890690471183703,-1.0239082892639075,False
1501600,,,0.0,PA,Norte,<5 mil,,,False
1501709,0.0,-0.35202494877225227,27.0,PA,Norte,50-100 mil,6.540441118330584,-6.540441118330584,False
1501725,0.9261218862639282,-0.08758221070979531,9.0,PA,Norte,5-20 mil,1.4770635131972856,-0.5509416269333574,False
1501758,0.6000063162666152,0.04431213283750021,3.0,PA,Norte,<5 mil,0.0970692563722204,0.5029370598943947,False
1501782,0.0,-0.43625113419046896,21.0,PA,Norte,20-50 mil,2.395974303030304,-2.395974303030304,False
1501808,0.0,-0.3772827089964258,27.0,PA,Norte,50-100 mil,0.0,0.0,False
1501907,,,1.0,PA,Norte,5-20 mil,1.29515828388419,,False
1501956,0.0,-0.009975864843120628,4.0,PA,Norte,5-20 mil,0.0,0.0,False
1502004,0.0,-0.3809126919856418,22.0,PA,Norte,5-20 mil,5.911121483964337,-5.911121483964337,False
1502103,0.0,-0.1226631581439595,19.0,PA,Norte,50-100 mil,1.1655471813716818,-1.1655471813716818,False
1502152,4.684081292748601,0.12755999450077637,7.0,PA,Norte,20-50 mil,2.5659571034134228,2.1181241893351785,False
1502202,0.0,-0.2691695538532088,22.0,PA,Norte,50-100 mil,5.549541222288981,-5.549541222288981,False
1502301,0.0,-0.37602561234879506,22.0,PA,Norte,20-50 mil,5.94716401070104,-5.94716401070104,False
1502400,0.0,-0.3860011823696236,27.0,PA,Norte,100-500 mil,6.321401662397563,-6.321401662397563,False
